name,description,styleUrl,icon-opacity,icon-color,icon-scale,icon,Código_CNES,Cod_IBGE,Município,Região_da,CRS,Logradouro,Número_do,Bairro,Latitude,Longitude,M_IPH_UFRGS
SOCIEDADE PORTUGUESA DE BENEFICENCIA,"{""@type"":""html"",""value"":""Código_CNES: 2252295<br>Cod_IBGE: 4314407<br>Município: Pelotas<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: RUA ANDRADE NEVES<br>Número_do: 915<br>Bairro: CENTRO<br>Latitude: -31.77518<br>Longitude: -52.345889<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2252295.0,4314407.0,Pelotas,21.0,03 CRS,RUA ANDRADE NEVES,915.0,CENTRO,-31.77518,-52.345889,Nao
SANTA CASA DE MISERICORDIA DE PELOTAS,"{""@type"":""html"",""value"":""Código_CNES: 2253054<br>Cod_IBGE: 4314407<br>Município: Pelotas<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: PCA PIRATININO DE ALMEIDA<br>Número_do: 53<br>Bairro: CENTRO<br>Latitude: -31.765436<br>Longitude: -52.346658<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2253054.0,4314407.0,Pelotas,21.0,03 CRS,PCA PIRATININO DE ALMEIDA,53.0,CENTRO,-31.765436,-52.346658,Nao
HOSPITAL ESCOLA DA UFPEL FUNDACAO DE APOIO UNIVERSITARIO,"{""@type"":""html"",""value"":""Código_CNES: 2252694<br>Cod_IBGE: 4314407<br>Município: Pelotas<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: RUA PROFESSOR ARAUJO<br>Número_do: 538<br>Bairro: CENTRO<br>Latitude: -31.764721<br>Longitude: -52.346979<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2252694.0,4314407.0,Pelotas,21.0,03 CRS,RUA PROFESSOR ARAUJO,538.0,CENTRO,-31.764721,-52.346979,Nao
CENTRO CLINICO PILTCHER LTDA,"{""@type"":""html"",""value"":""Código_CNES: 630284<br>Cod_IBGE: 4314407<br>Município: Pelotas<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: ANDRADE NEVES<br>Número_do: 3006<br>Bairro: CENTRO<br>Latitude: -31.75799<br>Longitude: -52.3374745<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,630284.0,4314407.0,Pelotas,21.0,03 CRS,ANDRADE NEVES,3006.0,CENTRO,-31.75799,-52.3374745,Nao
INSTITUTO TRAUMATOLOGIA ORTOPEDIA E REABILITACAO LTDA,"{""@type"":""html"",""value"":""Código_CNES: 2252341<br>Cod_IBGE: 4314407<br>Município: Pelotas<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: RUA ANDRADE NEVES<br>Número_do: 3006<br>Bairro: CENTRO<br>Latitude: -31.75784<br>Longitude: -52.337884<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2252341.0,4314407.0,Pelotas,21.0,03 CRS,RUA ANDRADE NEVES,3006.0,CENTRO,-31.75784,-52.337884,Nao
SOCIEDADE PELOTENSE DE ASSISTENCIA E CULTURA,"{""@type"":""html"",""value"":""Código_CNES: 2253046<br>Cod_IBGE: 4314407<br>Município: Pelotas<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: RUA MARECHAL DEODORO<br>Número_do: 1123<br>Bairro: CENTRO<br>Latitude: -31.757481<br>Longitude: -52.340619<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2253046.0,4314407.0,Pelotas,21.0,03 CRS,RUA MARECHAL DEODORO,1123.0,CENTRO,-31.757481,-52.340619,Nao
SECRETARIA MUNICIPAL DE PELOTAS,"{""@type"":""html"",""value"":""Código_CNES: 104523<br>Cod_IBGE: 4314407<br>Município: Pelotas<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: AVENIDA BENTO GONCALVES<br>Número_do: 4590<br>Bairro: FRAGATA<br>Latitude: -31.7573176<br>Longitude: -52.3500495<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,104523.0,4314407.0,Pelotas,21.0,03 CRS,AVENIDA BENTO GONCALVES,4590.0,FRAGATA,-31.7573176,-52.3500495,Nao
HOSPITAL CLINICANP LTDA,"{""@type"":""html"",""value"":""Código_CNES: 2253690<br>Cod_IBGE: 4314407<br>Município: Pelotas<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: RUA QUINZE DE NOVEMBRO<br>Número_do: 1100<br>Bairro: CENTRO<br>Latitude: -31.754891<br>Longitude: -52.335033<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2253690.0,4314407.0,Pelotas,21.0,03 CRS,RUA QUINZE DE NOVEMBRO,1100.0,CENTRO,-31.754891,-52.335033,Nao
HOSPITAL ESPIRITA DE PELOTAS,"{""@type"":""html"",""value"":""Código_CNES: 2252376<br>Cod_IBGE: 4314407<br>Município: Pelotas<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: AV DOMINGOS DE ALMEIDA<br>Número_do: 2969<br>Bairro: AREAL<br>Latitude: -31.752<br>Longitude: -52.305155<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2252376.0,4314407.0,Pelotas,21.0,03 CRS,AV DOMINGOS DE ALMEIDA,2969.0,AREAL,-31.752,-52.305155,Nao
UNIMED PELOTAS RS COOPERATIVA DE ASSISTENCIA A SAUDE LTDA,"{""@type"":""html"",""value"":""Código_CNES: 7701942<br>Cod_IBGE: 4314407<br>Município: Pelotas<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: DR GERALDO TREPTOW<br>Número_do: 250<br>Bairro: TRES VENDAS<br>Latitude: -31.7348132<br>Longitude: -52.3474647<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,7701942.0,4314407.0,Pelotas,21.0,03 CRS,DR GERALDO TREPTOW,250.0,TRES VENDAS,-31.7348132,-52.3474647,Nao
PREFEITURA MUNICIPAL DE PEDRAS ALTAS,"{""@type"":""html"",""value"":""Código_CNES: 2707616<br>Cod_IBGE: 4314175<br>Município: Pedras Altas<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: FERNANDO ABOTT<br>Número_do: 125<br>Bairro: CENTRO<br>Latitude: -31.733994<br>Longitude: -53.5894199<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2707616.0,4314175.0,Pedras Altas,21.0,03 CRS,FERNANDO ABOTT,125.0,CENTRO,-31.733994,-53.5894199,Nao
COMUNIDADE DA COLONIA NOVA HOSPITAL,"{""@type"":""html"",""value"":""Código_CNES: 2262010<br>Cod_IBGE: 4300034<br>Município: Acegua<br>Região_da: 22<br>CRS: 07 CRS<br>Logradouro: POSTO CORREIO DA COLONIA NOVA<br>Número_do: 10<br>Bairro: CENTRO<br>Latitude: -31.665742<br>Longitude: -54.068925<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2262010.0,4300034.0,Acegua,22.0,07 CRS,POSTO CORREIO DA COLONIA NOVA,10.0,CENTRO,-31.665742,-54.068925,Nao
HOSPITAL DR ERNESTO MAURICIO ARNDT,"{""@type"":""html"",""value"":""Código_CNES: 2233444<br>Cod_IBGE: 4312450<br>Município: Morro Redondo<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: AV JACARANDA<br>Número_do: 0<br>Bairro: CENTRO<br>Latitude: -31.590943<br>Longitude: -52.631864<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2233444.0,4312450.0,Morro Redondo,21.0,03 CRS,AV JACARANDA,0.0,CENTRO,-31.590943,-52.631864,Nao
ASSOCIACAO DE ASSITENCIA SOCIAL HOSPITAL PINHEIRO MACHADO,"{""@type"":""html"",""value"":""Código_CNES: 2233320<br>Cod_IBGE: 4314506<br>Município: Pinheiro Machado<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: RUA DUTRA ANDRADES<br>Número_do: 1221<br>Bairro: CENTRO<br>Latitude: -31.57951<br>Longitude: -53.386137<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2233320.0,4314506.0,Pinheiro Machado,21.0,03 CRS,RUA DUTRA ANDRADES,1221.0,CENTRO,-31.57951,-53.386137,Nao
HOSPITAL DE CARIDADE NOSSA SENHORA DA CONCEICAO,"{""@type"":""html"",""value"":""Código_CNES: 2233347<br>Cod_IBGE: 4314605<br>Município: Piratini<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: AVENIDA SEIS DE JULHO<br>Número_do: 42<br>Bairro: CENTRO<br>Latitude: -31.448959<br>Longitude: -53.107318<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2233347.0,4314605.0,Piratini,21.0,03 CRS,AVENIDA SEIS DE JULHO,42.0,CENTRO,-31.448959,-53.107318,Nao
HOSPITAL DE CARIDADE DE CANGUCU,"{""@type"":""html"",""value"":""Código_CNES: 2232928<br>Cod_IBGE: 4304507<br>Município: Cangucu<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: RUA JOSE ALBANO DE SOUZA<br>Número_do: 140<br>Bairro: CENTRO<br>Latitude: -31.391612<br>Longitude: -52.678538<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2232928.0,4304507.0,Cangucu,21.0,03 CRS,RUA JOSE ALBANO DE SOUZA,140.0,CENTRO,-31.391612,-52.678538,Nao
SANTA CASA DE MISERICORDIA DE SAO LOURENCO DO SUL,"{""@type"":""html"",""value"":""Código_CNES: 2233312<br>Cod_IBGE: 4318804<br>Município: Sao Lourenco do Sul<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: RUA ALMIRANTE ABREU<br>Número_do: 437<br>Bairro: CENTRO<br>Latitude: -31.364671<br>Longitude: -51.97842<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2233312.0,4318804.0,Sao Lourenco do Sul,21.0,03 CRS,RUA ALMIRANTE ABREU,437.0,CENTRO,-31.364671,-51.97842,Nao
MINISTERIO DO EXERCITO HOSPITAL DE GUARNICAO DE BAGE,"{""@type"":""html"",""value"":""Código_CNES: 3596338<br>Cod_IBGE: 4301602<br>Município: Bage<br>Região_da: 22<br>CRS: 07 CRS<br>Logradouro: AV PORTUGAL<br>Número_do: 99<br>Bairro: CASTRO ALVES<br>Latitude: -31.3397964<br>Longitude: -54.0976076<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,3596338.0,4301602.0,Bage,22.0,07 CRS,AV PORTUGAL,99.0,CASTRO ALVES,-31.3397964,-54.0976076,Nao
HOSPITAL UNIVERSITARIO URCAMP,"{""@type"":""html"",""value"":""Código_CNES: 2261995<br>Cod_IBGE: 4301602<br>Município: Bage<br>Região_da: 22<br>CRS: 07 CRS<br>Logradouro: RUA FLORES DA CUNHA<br>Número_do: 169<br>Bairro: CENTRO<br>Latitude: -31.333036<br>Longitude: -54.10264<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2261995.0,4301602.0,Bage,22.0,07 CRS,RUA FLORES DA CUNHA,169.0,CENTRO,-31.333036,-54.10264,Nao
SANTA CASA DE CARIDADE DE BAGE,"{""@type"":""html"",""value"":""Código_CNES: 2261987<br>Cod_IBGE: 4301602<br>Município: Bage<br>Região_da: 22<br>CRS: 07 CRS<br>Logradouro: RUA GOMES CARNEIRO<br>Número_do: 1350<br>Bairro: CENTRO<br>Latitude: -31.326318<br>Longitude: -54.111048<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2261987.0,4301602.0,Bage,22.0,07 CRS,RUA GOMES CARNEIRO,1350.0,CENTRO,-31.326318,-54.111048,Nao
ASSOCIACAO BENEFICIENTE SAO JOAO DA RESERVA,"{""@type"":""html"",""value"":""Código_CNES: 2233371<br>Cod_IBGE: 4318804<br>Município: Sao Lourenco do Sul<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: SAO JOAO DA RESERVA<br>Número_do: 1<br>Bairro: DISTRITO<br>Latitude: -31.295598<br>Longitude: -52.151385<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2233371.0,4318804.0,Sao Lourenco do Sul,21.0,03 CRS,SAO JOAO DA RESERVA,1.0,DISTRITO,-31.295598,-52.151385,Nao
SOCIEDADE BENEFICIENTE SAO LUIZ DE MOSTARDAS,"{""@type"":""html"",""value"":""Código_CNES: 2224615<br>Cod_IBGE: 4312500<br>Município: Mostardas<br>Região_da: 5<br>CRS: 18 CRS<br>Logradouro: ALMIRANTE TAMANDARE<br>Número_do: 864<br>Bairro: CENTRO<br>Latitude: -31.104669<br>Longitude: -50.917099<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2224615.0,4312500.0,Mostardas,5.0,18 CRS,ALMIRANTE TAMANDARE,864.0,CENTRO,-31.104669,-50.917099,Nao
SANTA CASA DE CARIDADE DE DOM PEDRITO,"{""@type"":""html"",""value"":""Código_CNES: 2262002<br>Cod_IBGE: 4306601<br>Município: Dom Pedrito<br>Região_da: 22<br>CRS: 07 CRS<br>Logradouro: DUQUE DE CAXIAS<br>Número_do: 1348<br>Bairro: CENTRO<br>Latitude: -30.981331<br>Longitude: -54.669914<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2262002.0,4306601.0,Dom Pedrito,22.0,07 CRS,DUQUE DE CAXIAS,1348.0,CENTRO,-30.981331,-54.669914,Nao
CENTRO HOSPITALAR SANTANENSE LTDA,"{""@type"":""html"",""value"":""Código_CNES: 3913392<br>Cod_IBGE: 4317103<br>Município: Sant' Ana do Livramento<br>Região_da: 3<br>CRS: 10 CRS<br>Logradouro: AV ALMIRANTE TAMANDARE<br>Número_do: 2880<br>Bairro: CENTRO<br>Latitude: -30.898776<br>Longitude: -55.529719<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,3913392.0,4317103.0,Sant' Ana do Livramento,3.0,10 CRS,AV ALMIRANTE TAMANDARE,2880.0,CENTRO,-30.898776,-55.529719,Nao
PRONTOMED CTI CENTRO DE TRATAMENTO INTENSIVO LTDA,"{""@type"":""html"",""value"":""Código_CNES: 5395194<br>Cod_IBGE: 4317103<br>Município: Sant' Ana do Livramento<br>Região_da: 3<br>CRS: 10 CRS<br>Logradouro: AV ALMIRANTE TAMANDARE<br>Número_do: 2880<br>Bairro: CENTRO<br>Latitude: -30.89873<br>Longitude: -55.529752<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,5395194.0,4317103.0,Sant' Ana do Livramento,3.0,10 CRS,AV ALMIRANTE TAMANDARE,2880.0,CENTRO,-30.89873,-55.529752,Nao
SANTA CASA DE MISERICORDIA,"{""@type"":""html"",""value"":""Código_CNES: 2248220<br>Cod_IBGE: 4317103<br>Município: Sant' Ana do Livramento<br>Região_da: 3<br>CRS: 10 CRS<br>Logradouro: RUA MANDUCA RODRIGUES<br>Número_do: 295<br>Bairro: CENTRO<br>Latitude: -30.889872<br>Longitude: -55.53804<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2248220.0,4317103.0,Sant' Ana do Livramento,3.0,10 CRS,RUA MANDUCA RODRIGUES,295.0,CENTRO,-30.889872,-55.53804,Nao
MUNICIPIO DE SANTANA DA BOA VISTA,"{""@type"":""html"",""value"":""Código_CNES: 2913267<br>Cod_IBGE: 4317004<br>Município: Santana da Boa Vista<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: RUA 6 DE MAIO<br>Número_do: 123<br>Bairro: CENTRO<br>Latitude: -30.8702334<br>Longitude: -53.1105128<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2913267.0,4317004.0,Santana da Boa Vista,21.0,03 CRS,RUA 6 DE MAIO,123.0,CENTRO,-30.8702334,-53.1105128,Nao
FUNDACAO ASSISTENCIAL E BENEFICENTE DE CAMAQUA,"{""@type"":""html"",""value"":""Código_CNES: 2257548<br>Cod_IBGE: 4303509<br>Município: Camaqua<br>Região_da: 9<br>CRS: 01 CRS<br>Logradouro: CRISTOVAO GOMES DE ANDRADE<br>Número_do: 665<br>Bairro: CENTRO<br>Latitude: -30.848343<br>Longitude: -51.814847<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2257548.0,4303509.0,Camaqua,9.0,01 CRS,CRISTOVAO GOMES DE ANDRADE,665.0,CENTRO,-30.848343,-51.814847,Nao
FUNDACAO MEDICO HOSPITALAR DR HONOR TEIXEIRA DA COSTA,"{""@type"":""html"",""value"":""Código_CNES: 2262029<br>Cod_IBGE: 4311502<br>Município: Lavras do Sul<br>Região_da: 22<br>CRS: 07 CRS<br>Logradouro: AV 9 DE MAIO<br>Número_do: 141<br>Bairro: HOSPITAL<br>Latitude: -30.815963<br>Longitude: -53.902124<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2262029.0,4311502.0,Lavras do Sul,22.0,07 CRS,AV 9 DE MAIO,141.0,HOSPITAL,-30.815963,-53.902124,Nao
ASSOCIACAO BRASILEIRA CULTURAL E BENEFICENTE,"{""@type"":""html"",""value"":""Código_CNES: 2227711<br>Cod_IBGE: 4306502<br>Município: Dom Feliciano<br>Região_da: 9<br>CRS: 01 CRS<br>Logradouro: AV BORGES DE MEDEIROS<br>Número_do: 648<br>Bairro: CENTRO<br>Latitude: -30.7054716<br>Longitude: -52.1084909<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2227711.0,4306502.0,Dom Feliciano,9.0,01 CRS,AV BORGES DE MEDEIROS,648.0,CENTRO,-30.7054716,-52.1084909,Nao
ASSOCIACAO DE SAUDE DE DOM FELICIANO,"{""@type"":""html"",""value"":""Código_CNES: 6953689<br>Cod_IBGE: 4306502<br>Município: Dom Feliciano<br>Região_da: 9<br>CRS: 01 CRS<br>Logradouro: AV BORGES DE MEDEIRO<br>Número_do: 648<br>Bairro: CENTRO<br>Latitude: -30.705137<br>Longitude: -52.108494<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,6953689.0,4306502.0,Dom Feliciano,9.0,01 CRS,AV BORGES DE MEDEIRO,648.0,CENTRO,-30.705137,-52.108494,Nao
